pos	cell_id	x	y	z	label
0	3	78001.86177277841	22296.21290975524	5824.864852373162	183
1	3	78197.2236311005	21934.806427194497	5890.873107894532	183
2	3	78231.7518417707	21946.1373061788	5949.48497715238	183
3	3	78226.63876102061	22048.385171477006	5669.628240152491	183
4	3	78000.7147785575	22259.66973223913	5710.711088824248	183
5	3	77449.77816028742	22609.4290960265	5550.990508045601	183
6	3	77813.14742588863	22296.848270091377	5753.350496137715	183
7	3	77858.59903241237	22241.03536376917	5726.271777749793	183
8	3	77792.38740671228	22199.2491615556	5784.5294212858325	183
9	3	77832.44562616943	22130.07643785918	5826.1942364630995	183
10	3	78024.64910036071	21876.5920191172	5773.220622637251	183
11	3	77766.84602331909	22057.8003863569	5863.568589673954	183
12	3	77950.1081165306	22061.3897417008	5978.180339783301	183
13	3	77944.3422962027	22054.579573519502	6000.6180599524905	183
14	3	77854.754158105	21861.2399160998	5934.34402868372	183
15	3	77846.18664824478	21800.943136231002	5752.699777830361	183
16	3	77936.17953229361	21992.648541040402	5784.632275863842	183
17	3	77735.60877436142	21953.792358765146	5797.974657598673	183
18	3	77751.13754954969	21771.641672082802	5858.002113042049	183
19	3	78117.9713218445	21849.249198156904	5549.42264906464	183
20	3	77734.02103965322	21916.253478908082	5680.347766503571	183
21	3	77736.45205619844	21938.72271068084	5620.207104623671	183
22	3	77791.22310967276	21939.819133786208	5536.843430225196	183
23	3	77812.54326051923	21884.43828122069	5582.726228553636	183
24	3	77887.59217481737	21918.219812339474	5530.202242644624	183
25	3	78014.0206762962	21911.207178796398	5816.29765883198	183
26	3	78038.3510980061	21910.7988628816	5795.347544663811	183
27	3	77768.47361386423	22049.901156284155	5730.208059141183	183
28	3	77711.25688291769	22061.295630669043	5696.50484725576	183
29	3	77809.39964200559	22068.617113459062	5551.580258240663	183
30	3	77883.44670643429	22060.73973956312	5637.482590529069	183
31	3	78244.7833854147	21984.761235133	5725.03386482021	183
32	3	77771.10795246932	22113.89132980869	5622.808564630052	183
33	3	77369.4935406282	22182.297205674	5414.8952242955	183
34	3	77379.9851508336	22223.533188390807	5476.46249998707	183
35	3	78210.56710724982	21785.4395324093	5853.331364100812	183
36	3	78025.48351746262	22042.645085379707	5579.792472487642	183
37	3	78200.0584567578	21983.5793229964	5627.0231295167505	183
38	3	77937.06834429297	22135.977809160944	5491.746515688737	183
39	3	77970.42428583307	22191.196603650995	5567.013065574119	183
40	3	77939.93330983762	22245.906441839878	5528.402710004235	183
0	4	70206.75076121339	33505.4218604976	7425.597356456119	39
1	4	70127.7419864163	33451.394259979206	7608.591565350779	39
2	4	70199.7470519277	33490.159569895	8022.104984437329	39
3	4	70184.15432169098	33429.6921507553	8122.958324068802	39
4	4	70217.6352106091	33576.4041316961	8128.124934702073	39
5	4	69946.51996687782	33630.8748484975	7643.473339340091	39
6	4	69895.543546734	33252.4517993894	7769.56566910643	39
7	4	69904.89271231719	33302.3101951224	7790.480029451532	39
8	4	69830.10612650024	33446.660557107505	7841.827263967049	39
9	4	69963.81781048985	33467.612021016146	7861.13385189407	39
10	4	69877.7967661344	33274.912822866536	7926.194244936754	39
11	4	69937.1698939681	33219.5020450715	8042.046001326559	39
12	4	70020.03843777477	33388.5628728615	8061.531743459702	39
13	4	70111.02069252981	33398.9385536346	7996.593543147383	39
14	4	70369.52974954086	33257.86234204294	7946.354725291128	39
15	4	70236.11041579023	33405.610153471964	7839.877880172479	39
16	4	69855.3727597486	33193.751513390795	7579.897195553291	39
17	4	69851.97519326759	33196.623895144636	7865.091612011537	39
18	4	69774.074495087	33443.627278023	7828.2381563702575	39
19	4	69738.2740679455	33316.0548996832	7818.9666504122815	39
20	4	69797.38640543402	33291.21291640312	7835.577361846946	39
21	4	69979.38061107133	33156.32194310061	7575.872887511002	39
22	4	69876.51809745343	33065.8016897239	8132.846827322843	39
23	4	70006.83975327283	33211.02562591842	7831.8008028755385	39
24	4	70090.01438555548	33009.9253786214	8016.694327276032	39
25	4	70014.8749960477	33154.7382893201	7938.86795107774	39
26	4	70140.63834135003	33117.682976165284	7798.696689938892	39
27	4	69885.49146107782	33172.5934838432	7521.563082559732	39
28	4	70066.3565126355	33379.97447742058	7730.385261511375	39
29	4	69994.08885521551	33412.05721000872	7790.4063539556155	39
30	4	69866.52238127214	33393.01842187768	7767.1760379214065	39
31	4	69942.1397904256	33394.621241194865	7779.5473225551295	39
32	4	69911.40632966322	33231.1638224895	7583.943550332181	39
33	4	69974.63510389463	33265.80126921459	7812.154710691614	39
34	4	70061.34484827128	33332.455114621334	7811.845748686518	39
35	4	69860.4112015131	33515.0957983054	7772.970659721221	39
36	4	69920.77699693911	33541.9150830197	7633.889950047959	39
37	4	70029.23770118278	33513.7916346342	7696.703328930501	39
38	4	70002.68323895318	33452.5091923351	8049.228287068381	39
39	4	70042.12437943707	33461.4938251809	7990.327966613017	39
40	4	70047.9643878045	33432.381738072996	7984.9674483078325	39
0	5	93320.4225510626	25938.759969412204	2326.7560325630498	15
1	5	93456.30259843699	25764.711913397	2393.112747253921	15
2	5	93180.5612670469	25965.285456514903	2357.45857211663	15
3	5	93192.91605405236	25536.213295547677	2485.0670801546075	15
4	5	93019.10497138233	25608.95425288027	2381.1434730843216	15
5	5	92990.00070005788	25866.26748126148	2200.7655397629246	15
6	5	93065.1924197278	25826.562683003587	2119.965207177871	15
7	5	92929.9499508357	26025.1678206799	2306.0815987947	15
8	5	93210.8103239791	25851.134025913398	2238.5801129719293	15
9	5	93201.91757054665	25716.84576450309	2103.2946340115827	15
10	5	93290.3186751655	25818.2085767771	2086.95628064934	15
11	5	93119.50893533473	25725.2500007324	2300.16335559422	15
12	5	93135.0106506447	25725.1351125696	2270.2843339906	15
13	5	93094.5252955508	25649.109142749	2223.1914283116002	15
14	5	93172.4501339709	25382.895924048706	2087.81407343088	15
15	5	93193.6755156959	25499.321917625297	2065.15055901695	15
16	5	93472.0286561586	25594.224182031903	2320.9658859268693	15
17	5	93528.43655059813	25696.273098639194	2298.35671873835	15
18	5	93472.1612284591	25943.530505395098	2316.119100338689	15
19	5	93408.79169774964	25607.1801199795	2287.55940191678	15
20	5	93327.76991458188	25658.9071540898	2178.6638885835478	15
21	5	93236.1710052475	25495.018568131894	1983.8713706941107	15
22	5	93422.5103301983	25580.909430434804	1958.3304798312809	15
23	5	93429.9105524502	25708.8321858467	2171.77142689678	15
24	5	93180.80716341751	25773.201299448498	2240.9021250299897	15
25	5	93336.67534501852	25771.836334657	2255.43347560294	15
26	5	93221.2372635033	25658.248481450697	2238.2248235967104	15
27	5	93159.1101936427	25649.319663167797	2183.55296459239	15
28	5	93332.5537305999	25792.6504723272	2280.6373285718105	15
29	5	93334.95251179008	25793.973637552	2039.32187502653	15
30	5	93315.76781346393	25783.6012653979	2051.80040215281	15
31	5	93345.02383243863	25802.134673349097	2205.8893362335	15
32	5	93375.7159977866	25842.069934214298	2274.28869420629	15
33	5	93228.20843351528	25900.925744161603	2240.38807851399	15
34	5	93240.31950731564	25935.0510621018	2282.096204860689	15
35	5	93238.89411415519	25895.1686604094	2310.19079721122	15
36	5	93242.060031568	25864.0525320027	2292.8931595560994	15
37	5	93262.7984851326	25713.143411304103	2428.0539060786296	15
38	5	93357.5598705029	25770.7725111667	2437.9530767354504	15
39	5	93235.76054204893	25821.4989244212	2303.3920803297706	15
40	5	93182.16807936982	25893.254319839303	2314.77668526155	15
0	22	175495.71093179483	61734.081128802296	5361.156957811509	21
1	22	175622.85151280212	61928.161618649436	5196.167776090265	21
2	22	175415.47367814506	62146.39023457077	5214.721305871419	21
3	22	175424.05238219898	62063.915389465794	5183.398241421272	21
4	22	175327.03092918734	62095.92055401871	5214.239751796866	21
5	22	175198.322222145	62016.8137830104	5278.978521806721	21
6	22	175138.17926125607	61883.3707845533	5253.99363145154	21
7	22	175212.41382842802	61918.3907596149	5199.586591994741	21
8	22	175327.546737971	61988.0166801643	5119.9179691831205	21
9	22	175335.62739029998	62024.095179113	5152.81186895684	21
10	22	175159.789473844	62178.088806548614	5372.30164984854	21
11	22	175281.57609056198	62083.1991053687	5350.40318756709	21
12	22	175245.81697671994	62090.0197385849	5307.27289825759	21
13	22	175516.55554146902	62122.34975314679	5937.78541291034	21
14	22	175379.938918581	61986.6397999065	5427.422235673102	21
15	22	175205.69434904295	61956.1038880722	5274.788196516639	21
16	22	175242.109739078	61949.368780264806	5169.25536773826	21
17	22	175270.704170585	61905.88069801581	5253.047524650711	21
18	22	175324.75455698094	61881.7386663492	5230.554315714629	21
19	22	175518.28955389006	61795.3392456075	5608.31538164027	21
20	22	175408.233792532	61894.7837716393	5556.507373438629	21
21	22	175415.44907096596	61922.3200469749	5332.727951883499	21
22	22	175426.793351806	61959.932821739814	5374.96548480433	21
23	22	175407.167171059	61923.8778085054	5359.33418545874	21
24	22	175294.42318103698	61915.698155068094	5288.228977125231	21
