cell_id	pos	x	y	z
3	0.0	85058.1676838772	29149.853970266995	7221.80401447653
3	1.0	85122.0008462571	29207.2280651614	7204.39286021129
3	2.0	85185.834008637	29264.6021600558	7186.98170594605
3	3.0	85167.2172514861	29167.7459817332	7210.82670186975
3	4.0	85147.94276523715	29178.98958890875	7256.343386868895
3	5.0	85128.6682789882	29190.2331960843	7301.86007186804
3	6.0	84830.6564544347	29104.2323466284	6975.16482507714
3	7.0	84857.3537729494	29071.176004925	7001.88126867786
3	8.0	84810.4083628155	29106.062262398	7026.87868451594
3	9.0	84634.2212629706	29171.31930202545	6948.33934444413
3	10.0	84458.0341631257	29236.5763416529	6869.80000437232
3	11.0	84439.8879395571	29373.1303498188	6797.95168520408
3	12.0	85362.2608951291	28726.3838512743	6948.68299818185
3	13.0	84739.3512319206	29176.3336083196	7112.36695234516
3	14.0	84116.4415687121	29626.283365364903	7276.05090650847
3	15.0	83493.53190550361	30076.233122410205	7439.73486067178
3	16.0	85622.303159151	27803.829210312397	7291.06007699318
3	17.0	85268.0500555903	28611.5519073144	6966.81155218335
3	18.0	84913.7969520296	29419.2746043164	6642.56302737352
3	19.0	84885.48493516275	29265.4526989771	6876.05459071914
3	20.0	84857.1729182959	29111.6307936378	7109.54615406476
3	21.0	84897.7751883547	29076.3115354699	7154.90968514383
3	22.0	84938.37745841351	29040.992277302	7200.2732162228995
3	23.0	85064.5463534172	29026.91784400265	7135.274547145855
3	24.0	85190.7152484209	29012.8434107033	7070.27587806881
3	25.0	84584.42975961053	29847.736248824804	6760.022571891925
3	26.0	83978.14427080019	30682.629086946305	6449.769265715038
3	27.0	84263.44708433369	30181.082063851904	6610.797773838369
3	28.0	84548.7498978672	29679.535040757502	6771.826281961699
3	29.0	84834.0527114007	29177.9880176631	6932.85479008503
3	30.0	85119.3555249342	28676.4409945687	7093.88329820836
3	31.0	85128.5883483018	29123.9282715782	7382.20656520547
3	32.0	85159.0961883855	29176.1072119884	7354.2857877395
3	33.0	85189.60402846921	29228.286152398603	7326.36501027353
