pos	cell_id	x	y	z	label
0	3	85065.23932759662	29263.009625732375	7084.345970640259	90
1	3	85122.00084625711	29207.228065161413	7204.392860211292	90
2	3	85185.83400863702	29264.602160055805	7186.981705946054	90
3	3	85167.21725148612	29167.74598173321	7210.82670186975	90
4	3	85199.80436652679	29176.142848735297	6948.779624454489	90
5	3	85128.66827898822	29190.233196084308	7301.860071868041	90
6	3	84830.65645443469	29104.232346628403	6975.164825077141	90
7	3	84857.35377294941	29071.176004925004	7001.88126867786	90
8	3	84810.40836281549	29106.062262397998	7026.878684515944	90
9	3	84975.53134700017	29445.91578301584	6945.019266953629	90
10	3	84458.03416312572	29236.57634165291	6869.8000043723205	90
11	3	84439.88793955711	29373.13034981881	6797.951685204082	90
12	3	85362.26089512912	28726.383851274317	6948.682998181852	90
13	3	84739.35123192059	29176.3336083196	7112.366952345164	90
14	3	85008.93976601423	28874.781907350643	7141.2290162260215	90
15	3	85033.82695641214	28913.179096683565	7294.4015913722305	90
16	3	85040.8314905621	28858.273553911265	7145.53713672109	90
17	3	85268.05005559031	28611.55190731441	6966.811552183352	90
18	3	84913.79695202963	29419.274604316408	6642.563027373521	90
19	3	85138.45431027895	28980.308290310197	6873.385564708615	90
20	3	84857.17291829592	29111.630793637803	7109.546154064761	90
21	3	84897.77518835473	29076.31153546991	7154.909685143832	90
22	3	84921.29300918923	28953.58740571085	6961.336576248052	90
23	3	85048.82970373436	28859.946287860614	6849.404188379729	90
24	3	85190.71524842092	29012.843410703306	7070.275878068808	90
25	3	85010.98141934624	28904.769046266803	6920.810062523038	90
26	3	85018.19348173443	28982.805308052266	6940.2205052693835	90
27	3	84953.8584424732	28987.17775078201	6972.673200804247	90
28	3	85159.30829543166	28874.907764348198	6931.882177215499	90
29	3	84834.0527114007	29177.988017663105	6932.854790085032	90
30	3	85119.35552493423	28676.440994568708	7093.883298208362	90
31	3	85128.58834830181	29123.928271578214	7382.2065652054725	90
32	3	85159.09618838553	29176.10721198841	7354.285787739502	90
33	3	84894.59564714256	28967.19546542022	6982.072727330998	90
34	3	84839.52822964037	28903.699540453563	6944.716090143836	90
35	3	85014.61081035969	28764.753416774412	7092.799674271559	90
36	3	84790.83304044297	28882.450790930634	6951.982433138272	90
37	3	84787.41195042121	28884.205701655523	6955.244662294184	90
38	3	84685.89152867343	29171.467160506498	7029.084325634671	90
39	3	84676.13422989153	29133.3777305786	6908.927749346709	90
40	3	84841.79317345633	29197.149700810503	6871.069430161102	90
0	4	71215.90354975192	29573.70367197672	5424.139452795422	213
1	4	71174.20863635081	29500.714886150006	5567.7341754892295	213
2	4	71039.27246900238	29309.653597871657	5686.768520472479	213
3	4	70986.46777765188	29246.438862341205	5721.4138103033765	213
4	4	70964.45612037761	29166.32634364144	5673.842648132962	213
5	4	71046.52609249897	29136.168562526364	5634.531176639786	213
6	4	71153.38807551759	28986.892239249413	5580.538191376911	213
7	4	71123.38499434481	29005.0112643274	5726.915766278741	213
8	4	71087.14649502383	28842.003175071302	5753.0810581532405	213
9	4	71184.0034144447	29078.734666248107	5754.622258673131	213
10	4	71344.08851546791	29131.902840055296	5385.2147227103305	213
11	4	71348.38002892016	29245.061098711856	5717.888750016192	213
12	4	71442.99110242559	29186.361901073138	5749.065301152976	213
13	4	71431.86091032175	29052.355259671935	5742.535507765556	213
14	4	71199.09429774192	28901.253225866498	5851.97199828357	213
15	4	71251.8768791933	28877.246145959398	5658.85731873521	213
16	4	71375.51531333463	28969.415734648683	5755.526206242614	213
17	4	71158.78459037891	28806.3609031033	6016.828866595572	213
18	4	71135.79246995361	28904.383439883604	6023.38381493482	213
19	4	71476.63435310862	29144.63892406458	5844.756253244723	213
20	4	71488.51165461342	29174.287541085407	5398.88336452807	213
21	4	71090.0604744041	28933.844647636903	6133.567886957912	213
22	4	71119.42618723582	28903.833394959507	6120.857243613889	213
23	4	71228.1217444438	29267.432038872143	5860.76906733288	213
24	4	71338.90721460759	29307.425067702872	5845.787731950497	213
25	4	71253.80441228431	29305.65531612771	6152.4060165458395	213
26	4	71489.91397482701	29215.57116132521	5536.08301238979	213
27	4	71259.73106789801	29120.859193253007	6237.785208091971	213
28	4	71330.54384781442	29101.434480402106	5797.280609185962	213
29	4	71378.58743970591	29157.45941784021	5575.6649173752185	213
30	4	71230.23460348831	29568.6685853279	5753.48187605979	213
31	4	71261.25113492411	29629.471870158603	5727.4799009651415	213
32	4	71343.74970055293	28950.5091398558	5525.43163774371	213
33	4	71313.38431960769	29113.341576117597	5924.258941877981	213
34	4	71270.75568274503	29115.62351815811	5954.774072097069	213
35	4	71272.54509112531	29126.840529008707	5735.31052499696	213
36	4	71141.04935461193	29018.529322806407	5193.358879509471	213
37	4	71272.81136261261	29145.514369817105	5823.11671122066	213
38	4	71114.30329596093	29033.640371351004	5938.807955765769	213
39	4	71177.57956902022	29215.585542108925	5611.099903271392	213
40	4	71434.44372004582	29031.067366889118	5313.78037591702	213
0	5	101320.357643392	29989.81812467027	4472.032187492843	7
1	5	101165.52364752602	29958.860216731613	4237.461360403479	7
2	5	101183.55730276988	29890.611634425317	4487.727095509616	7
3	5	101205.45795290102	29984.915374536307	4648.526197137351	7
4	5	101174.15737382302	30033.145348526705	4564.43531211461	7
5	5	101158.65348445803	29859.922735087912	4379.739296459989	7
6	5	101238.29483538834	29842.854527871685	4571.520769099112	7
7	5	101271.91904444699	30132.721360903397	4567.771466739061	7
8	5	101240.18812307404	30122.179802967206	4533.6114562148405	7
9	5	100943.66718567404	29754.083630844198	4295.0097792937895	7
10	5	100951.89721813699	30186.668371642212	4388.537812183939	7
11	5	100970.60288791002	30236.64142112921	4326.955006410461	7
12	5	100917.64124603175	29945.731962400387	4431.239807162814	7
13	5	100956.22515161203	30090.604135613314	4563.644937860241	7
14	5	100902.41871286904	29845.843539759502	4694.601635381183	7
15	5	101044.22212475172	30051.73763249003	4288.322939464666	7
16	5	100894.10476426402	29861.873060268204	4762.715667143311	7
17	5	100939.72148894404	29878.558872319707	4753.339482179301	7
18	5	101181.48345437905	30362.313688907907	4550.686947990891	7
19	5	100983.77650758302	29889.80781269311	4622.9433904482285	7
20	5	100943.56212964602	29930.040802521813	4637.121081800379	7
21	5	100856.09112302373	29949.314644865262	4381.2229303121385	7
22	5	100867.03205681096	30012.63105977516	4466.653050008714	7
23	5	100963.05171348904	29928.51853748541	4717.436247906981	7
24	5	100872.984614149	29813.155179890087	4500.5729272649705	7
25	5	100960.225671681	29940.057609902706	4684.498005077343	7
26	5	100977.26460786584	29898.587159965373	4469.844458629504	7
27	5	101041.547169652	30150.767785426706	4463.037365322571	7
28	5	101106.51328385304	29627.2556926762	4268.483741994212	7
29	5	101117.61067378803	29647.5572151941	4228.93996304842	7
30	5	101122.444859768	29703.08458460641	4286.500934213111	7
31	5	101038.36767566003	29786.516629306298	4392.470398592041	7
32	5	101230.534349561	29914.028334787516	4449.441031075512	7
33	5	101013.90670118804	29862.0864918824	4632.68400797705	7
34	5	101015.77620018699	29852.4154426496	4574.455695527371	7
35	5	101084.605072357	29970.966102444414	4642.424661954721	7
36	5	100958.56371122101	29731.31450278691	4983.19280762455	7
37	5	100858.66320248402	29714.37119223581	4907.400670036801	7
38	5	100712.28963807199	29679.971205438116	4834.319912792951	7
39	5	101146.11551368904	29790.56175602981	4614.043799040401	7
40	5	101273.49396934104	29975.079548622412	4303.605716283772	7
